block;num_tones;prob;style;running_no;file_name;difficulty
4;3;90;B;4;block_04_tc3_p90_styleB_04;easy
4;3;90;B;5;block_04_tc3_p90_styleB_05;easy
4;3;90;B;6;block_04_tc3_p90_styleB_06;easy
4;3;90;B;7;block_04_tc3_p90_styleB_07;easy
4;3;90;B;8;block_04_tc3_p90_styleB_08;easy
4;3;90;B;9;block_04_tc3_p90_styleB_09;easy
4;3;90;B;10;block_04_tc3_p90_styleB_10;easy
4;3;90;B;11;block_04_tc3_p90_styleB_11;easy
4;3;90;B;12;block_04_tc3_p90_styleB_12;easy
4;3;90;B;13;block_04_tc3_p90_styleB_13;easy
4;3;90;B;14;block_04_tc3_p90_styleB_14;easy
4;3;90;B;15;block_04_tc3_p90_styleB_15;easy
4;3;90;B;16;block_04_tc3_p90_styleB_16;easy
4;3;90;B;17;block_04_tc3_p90_styleB_17;easy
4;3;90;B;18;block_04_tc3_p90_styleB_18;easy
4;3;90;B;19;block_04_tc3_p90_styleB_19;easy
4;3;90;B;20;block_04_tc3_p90_styleB_20;easy
4;3;90;B;21;block_04_tc3_p90_styleB_21;easy
4;3;90;B;22;block_04_tc3_p90_styleB_22;easy
4;3;90;B;23;block_04_tc3_p90_styleB_23;easy
4;3;90;B;24;block_04_tc3_p90_styleB_24;easy
4;3;90;B;25;block_04_tc3_p90_styleB_25;easy
5;4;60;A;1;block_05_tc4_p60_styleA_01;medium
5;4;60;A;2;block_05_tc4_p60_styleA_02;medium
5;4;60;A;3;block_05_tc4_p60_styleA_03;medium
5;4;60;A;4;block_05_tc4_p60_styleA_04;medium
5;4;60;A;5;block_05_tc4_p60_styleA_05;medium
5;4;60;A;6;block_05_tc4_p60_styleA_06;medium
5;4;60;A;7;block_05_tc4_p60_styleA_07;medium
5;4;60;A;8;block_05_tc4_p60_styleA_08;medium
5;4;60;A;9;block_05_tc4_p60_styleA_09;medium
5;4;60;A;10;block_05_tc4_p60_styleA_10;medium
5;4;60;A;11;block_05_tc4_p60_styleA_11;medium
5;4;60;A;12;block_05_tc4_p60_styleA_12;medium
5;4;60;A;13;block_05_tc4_p60_styleA_13;medium
5;4;60;A;14;block_05_tc4_p60_styleA_14;medium
5;4;60;A;15;block_05_tc4_p60_styleA_15;medium
5;4;60;A;16;block_05_tc4_p60_styleA_16;medium
5;4;60;A;17;block_05_tc4_p60_styleA_17;medium
5;4;60;A;18;block_05_tc4_p60_styleA_18;medium
5;4;60;A;19;block_05_tc4_p60_styleA_19;medium
